Наименование товара;Цена розничная;Минимальная партия, шт;Количество в упаковке;Изображение;Производитель
Вино игристое «Совиньон Континенталь элит» белое полусладкое, 9-13%, 0.75 л, Беларусь;6.19;1;12;https://img.unistore.by/UserFiles/images/catalog/Goods/8040/01128040/norm/thumbs/01128040.n_1_1000x1000.png.jpg?1684765809;"ЗАВОД ВИНОГРАДНЫХ ВИН ""ПЯТЬ КОНТИНЕНТОВ"""
Вино «Пино Нуар» розовое полусладкое, 9-13%, 1 л, Беларусь;6.8;0;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2715/01232715/norm/thumbs/01232715.n_1_1000x1000.png.jpg?1684765809;Вина РБ
Вино «Каберне Тахари Самир» красное полусладкое, 13%, 0.7 л, Беларусь;7.49;0;12;https://img.unistore.by/UserFiles/images/catalog/Goods/6436/01216436/norm/thumbs/01216436.n_1_1000x1000.png.jpg?1684765809;Вина РБ
Вино «Шардоне Тахари Самир» белое полусладкое, 9-13%, 0.7 л, Беларусь;7.6899999999999995;0;12;https://img.unistore.by/UserFiles/images/catalog/Goods/6435/01216435/norm/thumbs/01216435.n_1_1000x1000.png.jpg?1684765809;Вина РБ
Вино «Sarsitano Bianco» белое сухое, 10.5%, 0.75 л, Италия;11.39;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6800/01526800/norm/thumbs/01526800.n_1_1000x1000.png.jpg?1684765809;Вина импортные, Италия
Вино «Sarsitano Rosso Amab» красное полусладкое, 10%, 0.75 л, Италия;11.39;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6805/01526805/norm/thumbs/01526805.n_1_1000x1000.png.jpg?1684765809;Вина импортные, Италия
Вино «Sarsitano Rosso Secco» красное сухое, 10.5%, 0.75 л, Италия;11.39;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6806/01526806/norm/thumbs/01526806.n_1_1000x1000.png.jpg?1684765809;Вина импортные, Италия
Вино «Merendeiro» красное полусухое, 10.5%, 0.75 л, Португалия;13.0;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6122/00766122/norm/thumbs/00766122.n_1_1000x1000.png.jpg?1684765809;Другие импортные вина
Вино игристое «Легенда Молдовы» белое брют, 11.5%, 0.75 л, Молдова;14.3;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/8759/01508759/norm/thumbs/01508759.n_1_1000x1000.png.jpg?1684765809;Игристые вина, шампанское импорт
Вино «Легенда Молдовы» белое полусладкое, 11.5%, 0.75 л, Молдова;14.86;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/8760/01508760/norm/thumbs/01508760.n_1_1000x1000.png.jpg?1684765809;Игристые вина, шампанское импорт
Вино «Легенда Молдовы» розовое полусладкое, 11.5%, 0.75 л, Молдова;14.86;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/8763/01508763/norm/thumbs/01508763.n_1_1000x1000.png.jpg?1684765809;Игристые вина, шампанское импорт
Вино «Pedra Azul» розовое сухое, 9.5%, 0.75 л, Португалия;14.99;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/9054/01619054/norm/thumbs/01619054.n_1_1000x1000.png.jpg?1684765809;Другие импортные вина
Вино игристое «Bulgari» белое полусухое, 13.5%, 0.75 л, Молдова;14.99;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/8373/01518373/norm/thumbs/01518373.n_1_1000x1000.png.jpg?1684765809;Игристые вина, шампанское импорт
Вино «Crocodile Creek Shir» красное сухое, 13%, 0.75 л, Германия;16.0;1;6;https://img.unistore.by/UserFiles/images/catalog/Goods/2421/01452421/norm/thumbs/01452421.n_1_1000x1000.png.jpg?1684765809;Вина импортные, Германия
Вино «La Piuma Chianty» красное полусухое, 13%, 0.75 л, Италия;16.99;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/9850/01459850/norm/thumbs/01459850.n_1_1000x1000.png.jpg?1684765809;Вина импортные, Италия
Вино «Nespolino Merlot» красное сухое, 13.5%, 0.75 л, Италия;17.99;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/9851/01459851/norm/thumbs/01459851.n_1_1000x1000.png.jpg?1684765809;Вина импортные, Италия
Вино игристое «Валпиана Дианто» белое брют, 11%, 0.75 л, Италия;19.49;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6761/01486761/norm/thumbs/01486761.n_1_1000x1000.png.jpg?1684765809;Игристые вина, шампанское импорт
Вино игристое «Валпиана Экстра» белое брют, 11%, 0.75 л, Италия;19.49;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6762/01486762/norm/thumbs/01486762.n_1_1000x1000.png.jpg?1684765809;Игристые вина, шампанское импорт
Вино игристое «Прайм Кюве Санмарт» белое брют, 11%, 0.75 л, Италия;19.99;1;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6832/01486832/norm/thumbs/01486832.n_1_1000x1000.png.jpg?1684765809;Вина импортные, Италия
Вино «Jardin De La Taur» красное сухое, 13.5%, 0.75 л, Франция;22.0;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/1229/01531229/norm/thumbs/01531229.n_1_1000x1000.png.jpg?1684765809;Вина импортные, Франция
Вино игристое «Jules Larose» белое полусухое, 10.5%, 0.75 л, Франция;25.0;0;6;https://img.unistore.by/UserFiles/images/catalog/Goods/3754/01463754/norm/thumbs/01463754.n_1_1000x1000.png.jpg?1684765809;Игристые вина, шампанское импорт
Вино«КОРАЛ РИФ ШИРАЗ-КАБЕР»(кр,сух)0.75л;27.95;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/9031/01189031/norm/thumbs/01189031.n_1_1000x1000.png.jpg?1684765809;"""Les Grands Chais de France"", Франция"
Спиртной напиток «Аквадив» Гостинец.№3 40%, 0.35 л, Беларусь;6.43;3;28;https://img.unistore.by/UserFiles/images/catalog/Goods/7648/01297648/norm/thumbs/01297648.n_1_1000x1000.png.jpg?1684765809;АКВАДИВ
Напиток спиртной крепкий «Starka» Select, 40%, 0.5 л, Беларусь;7.99;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/6554/01246554/norm/thumbs/01246554.n_1_1000x1000.png.jpg?1684765809;220 ккал/ 930 кДж
Водка «Дикая Охота» Ultra, 38%, 0.5 л, Беларусь;8.48;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1026/01251026/norm/thumbs/01251026.n_1_1000x1000.png.jpg?1684765809;Брестский алкоголь
Водка «August Finest» 40%, 0.5 л, Беларусь;8.89;3;21;https://img.unistore.by/UserFiles/images/catalog/Goods/4592/00994592/norm/thumbs/00994592.n_1_1000x1000.png.jpg?1684765809;Водка РБ
Водка «Дикая Охота» Special, 40%, 0.5 л, Беларусь;9.29;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/4802/01254802/norm/thumbs/01254802.n_1_1000x1000.png.jpg?1684765809;Спиртоводочный завод «Брестский алкоголь» КУП «Маньковичи» 222530, Брестская обл., г. Столин, ул. Терешковой, 2, Республика Беларусь.
Напиток спиртной «Starka Reserve» 40%, 0.5 л, Беларусь;9.38;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2065/01572065/norm/thumbs/01572065.n_1_1000x1000.png.jpg?1684765809;Ликеры, бальзамы, настойки
Водка «Бульбашъ» Гринлайн Гранат 40%, 0.5 л, Беларусь;9.66;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/2489/01472489/norm/thumbs/01472489.n_1_1000x1000.png.jpg?1684765809;Водка РБ
Водка «Туманы» Platinum, 40%, 0.5 л, Беларусь;9.89;3;16;https://img.unistore.by/UserFiles/images/catalog/Goods/2005/01222005/norm/thumbs/01222005.n_1_1000x1000.png.jpg?1684765809;220 ккал/ 930 кДж
Водка «Дикая Утка» Платинум, 40%, 0.5 л, Беларусь;10.03;3;16;https://img.unistore.by/UserFiles/images/catalog/Goods/4325/01264325/norm/thumbs/01264325.n_1_1000x1000.png.jpg?1684765809;220 ккал/ 930 кДж
Спиртной напиток «Туманы» Absentum 43%, 0.5 л, Беларусь;10.12;3;16;https://img.unistore.by/UserFiles/images/catalog/Goods/2004/01222004/norm/thumbs/01222004.n_1_1000x1000.png.jpg?1684765809;ЕВРОТОРГ
Водка ароматизиров.«ТУМАНЫ»(red,40%)0.5л;10.15;3;16;https://img.unistore.by/UserFiles/images/catalog/Goods/2007/01222007/norm/thumbs/01222007.n_1_1000x1000.png.jpg?1684765809;ЕВРОТОРГ
Водка «Дикая утка» Ультра премиум, 40%, 0.5 л, Беларусь;10.3;3;16;https://img.unistore.by/UserFiles/images/catalog/Goods/4326/01264326/norm/thumbs/01264326.n_1_1000x1000.png.jpg?1684765809;230 ккал/ 930 кДж
Водка «Коноплянка» Родник, 40%, 0.5 л, Беларусь;10.45;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/5184/01095184/norm/thumbs/01095184.n_1_1000x1000.png.jpg?1684765809;220 ккал/ 930 кДж
Водка «Коноплянка» Традиционная, 40%, 0.5 л, Беларусь;10.49;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/5169/01095169/norm/thumbs/01095169.n_1_1000x1000.png.jpg?1684765809;Водка РБ
