Наименование товара;Цена розничная;Минимальная партия, шт;Количество в упаковке;Изображение;Производитель
Водка «Дикая Охота» Ultra, 38%, 0.5 л, Беларусь;8.48;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1026/01251026/norm/thumbs/01251026.n_1_1000x1000.png.jpg?1684441806;Брестский алкоголь
Водка «Дикая Охота» Special, 40%, 0.5 л, Беларусь;9.29;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/4802/01254802/norm/thumbs/01254802.n_1_1000x1000.png.jpg?1684528206;Спиртоводочный завод «Брестский алкоголь» КУП «Маньковичи» 222530, Брестская обл., г. Столин, ул. Терешковой, 2, Республика Беларусь.
Пиво «Brauberg Original» 4.3%, 0.45 л, Беларусь;1.49;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/1675/01141675/norm/thumbs/01141675.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво«GILDI ORIGINAAL»(св,ж/б,4.8%)0.568л;1.99;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9670/01639670/norm/thumbs/01639670.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво«NOAD.BEER WEIZEN»(пшен,н/ф,ж/б)0.5л;2.02;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/3453/01583453/norm/thumbs/01583453.n_1_1000x1000.png.jpg?1684441806;Импорт
Пиво «Livu Sencu» светлое, 5%, 0.5 л, Латвия;2.03;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6869/01126869/norm/thumbs/01126869.n_1_1000x1000.png.jpg?1684096209;УАБ »Калнарои-Тауро груп» 35147 Пеневезус, Тайкос ал. 1, Литва.
Пиво «Ноад Бир Лагер» светлое, 4.1%, 0.5 л, Германия;2.24;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/7525/01417525/norm/thumbs/01417525.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво «GILDI PILSNE» (св,ж/б,4.5%)0.568л;2.29;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9668/01639668/norm/thumbs/01639668.n_1_1000x1000.png.jpg?1684560606;Импорт
Пивной напиток «Kronenbourg» 1664 Blanc, 4.5%, 0.45 л, Россия;2.35;1;24;https://img.unistore.by/UserFiles/images/catalog/Goods/5082/01065082/norm/thumbs/01065082.n_1_1000x1000.png.jpg?1684560606;БАЛТИКА
Пиво«HOP RIDER ALE»(светл.,неф,ж/б)0.33л;2.39;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/2080/01572080/norm/thumbs/01572080.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво «Hop Rider» Ipa, светлое нефильтрованное, 4.9%, 0.33 л, Германия;2.45;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9150/01409150/norm/thumbs/01409150.n_1_1000x1000.png.jpg?1684355407;Приватбрауереи Еикхбаум ГмбХ и Ко. КГ, Каеферталер Штрассе 17068167 Маннхеим, Германия.
Пиво «Feldschlosschen Reser» светлое, 5.3%, 0.5 л, Германия;2.69;3;18;https://img.unistore.by/UserFiles/images/catalog/Goods/8964/01408964/norm/thumbs/01408964.n_1_1000x1000.png.jpg?1684560606;ж/банка
Пиво«GILDE BLACK BEER»(тем,ж/б,5.0%)0.5л;2.69;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/3836/01733836/norm/thumbs/01733836.n_1_1000x1000.png.jpg?1684269006;Импорт
Пиво«GILDE PILSENER»(свет.,ж/б,5.0%)0.5л;2.69;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/3835/01733835/norm/thumbs/01733835.n_1_1000x1000.png.jpg?1684560606;Импорт
Напиток пив«BARCOCTAIL»(джин-тоник)0.45л;2.8;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/1274/01461274/norm/thumbs/01461274.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво«STAROCESKE TRADICNI»(св,ф,ж/б)0.5л;2.8;2;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6524/01726524/norm/thumbs/01726524.n_1_1000x1000.png.jpg?1684528206;Импорт
